¿œ¿⁄,ºˆ∑Æ,º“∫–∑˘
2021-01-05,320,≈∫ªÍ¿Ω∑·
2021-01-05,4500,≈∫ªÍ¿Ω∑·
2021-01-05,1152,≈∫ªÍ¿Ω∑·
2021-01-05,132,≈∫ªÍ¿Ω∑·
2021-01-05,120,≈∫ªÍ¿Ω∑·
2021-01-05,480,≈∫ªÍ¿Ω∑·
2021-01-05,720,≈∫ªÍ¿Ω∑·
2021-01-05,720,≈∫ªÍ¿Ω∑·
2021-01-05,816,≈∫ªÍ¿Ω∑·
2021-01-05,90,≈∫ªÍ¿Ω∑·
2021-01-05,288,≈∫ªÍ¿Ω∑·
2021-01-05,300,≈∫ªÍ¿Ω∑·
2021-01-05,-3,≈∫ªÍ¿Ω∑·
2021-01-07,-232,≈∫ªÍ¿Ω∑·
2021-01-07,60,≈∫ªÍ¿Ω∑·
2021-01-08,-60,≈∫ªÍ¿Ω∑·
2021-01-11,528,≈∫ªÍ¿Ω∑·
2021-01-12,240,≈∫ªÍ¿Ω∑·
2021-01-12,96,≈∫ªÍ¿Ω∑·
2021-01-12,384,≈∫ªÍ¿Ω∑·
2021-01-12,480,≈∫ªÍ¿Ω∑·
2021-01-13,480,≈∫ªÍ¿Ω∑·
2021-01-13,480,≈∫ªÍ¿Ω∑·
2021-01-14,528,≈∫ªÍ¿Ω∑·
2021-01-15,600,≈∫ªÍ¿Ω∑·
2021-01-15,36,≈∫ªÍ¿Ω∑·
2021-01-19,528,≈∫ªÍ¿Ω∑·
2021-01-19,100,≈∫ªÍ¿Ω∑·
2021-01-19,480,≈∫ªÍ¿Ω∑·
2021-01-19,60,≈∫ªÍ¿Ω∑·
2021-01-19,360,≈∫ªÍ¿Ω∑·
2021-01-19,300,≈∫ªÍ¿Ω∑·
2021-01-20,480,≈∫ªÍ¿Ω∑·
2021-01-21,240,≈∫ªÍ¿Ω∑·
2021-01-25,480,≈∫ªÍ¿Ω∑·
2021-01-27,240,≈∫ªÍ¿Ω∑·
2021-02-01,1056,≈∫ªÍ¿Ω∑·
2021-02-01,480,≈∫ªÍ¿Ω∑·
2021-02-02,528,≈∫ªÍ¿Ω∑·
2021-02-02,240,≈∫ªÍ¿Ω∑·
2021-02-02,264,≈∫ªÍ¿Ω∑·
2021-02-02,72,≈∫ªÍ¿Ω∑·
2021-02-03,480,≈∫ªÍ¿Ω∑·
2021-02-03,-36,≈∫ªÍ¿Ω∑·
2021-02-04,480,≈∫ªÍ¿Ω∑·
2021-02-08,1152,≈∫ªÍ¿Ω∑·
2021-02-08,30,≈∫ªÍ¿Ω∑·
2021-02-08,600,≈∫ªÍ¿Ω∑·
2021-02-09,480,≈∫ªÍ¿Ω∑·
2021-02-10,240,≈∫ªÍ¿Ω∑·
2021-02-15,528,≈∫ªÍ¿Ω∑·
2021-02-15,120,≈∫ªÍ¿Ω∑·
2021-02-15,300,≈∫ªÍ¿Ω∑·
2021-02-16,792,≈∫ªÍ¿Ω∑·
2021-02-17,600,≈∫ªÍ¿Ω∑·
2021-02-17,480,≈∫ªÍ¿Ω∑·
2021-02-17,672,≈∫ªÍ¿Ω∑·
2021-02-17,600,≈∫ªÍ¿Ω∑·
2021-02-18,240,≈∫ªÍ¿Ω∑·
2021-02-22,528,≈∫ªÍ¿Ω∑·
2021-02-22,2970,≈∫ªÍ¿Ω∑·
2021-02-25,240,≈∫ªÍ¿Ω∑·
2021-02-25,480,≈∫ªÍ¿Ω∑·
2021-02-25,480,≈∫ªÍ¿Ω∑·
2021-02-25,300,≈∫ªÍ¿Ω∑·
2021-02-25,240,≈∫ªÍ¿Ω∑·
2021-03-01,300,≈∫ªÍ¿Ω∑·
2021-03-03,24,≈∫ªÍ¿Ω∑·
2021-03-03,168,≈∫ªÍ¿Ω∑·
2021-03-03,168,≈∫ªÍ¿Ω∑·
2021-03-04,240,≈∫ªÍ¿Ω∑·
2021-03-04,720,≈∫ªÍ¿Ω∑·
2021-03-04,360,≈∫ªÍ¿Ω∑·
2021-03-04,120,≈∫ªÍ¿Ω∑·
2021-03-04,1200,≈∫ªÍ¿Ω∑·
2021-03-05,-14,≈∫ªÍ¿Ω∑·
2021-03-09,1152,≈∫ªÍ¿Ω∑·
2021-03-09,300,≈∫ªÍ¿Ω∑·
2021-03-09,60,≈∫ªÍ¿Ω∑·
2021-03-09,300,≈∫ªÍ¿Ω∑·
2021-03-09,150,≈∫ªÍ¿Ω∑·
2021-03-09,300,≈∫ªÍ¿Ω∑·
2021-03-09,300,≈∫ªÍ¿Ω∑·
2021-03-09,120,≈∫ªÍ¿Ω∑·
2021-03-09,120,≈∫ªÍ¿Ω∑·
2021-03-09,240,≈∫ªÍ¿Ω∑·
2021-03-09,240,≈∫ªÍ¿Ω∑·
2021-03-10,480,≈∫ªÍ¿Ω∑·
2021-03-10,72,≈∫ªÍ¿Ω∑·
2021-03-13,48,≈∫ªÍ¿Ω∑·
2021-03-15,120,≈∫ªÍ¿Ω∑·
2021-03-16,504,≈∫ªÍ¿Ω∑·
2021-03-16,24,≈∫ªÍ¿Ω∑·
2021-03-16,30,≈∫ªÍ¿Ω∑·
2021-03-16,450,≈∫ªÍ¿Ω∑·
2021-03-16,-4,≈∫ªÍ¿Ω∑·
2021-03-17,1440,≈∫ªÍ¿Ω∑·
2021-03-17,240,≈∫ªÍ¿Ω∑·
2021-03-17,900,≈∫ªÍ¿Ω∑·
2021-03-18,600,≈∫ªÍ¿Ω∑·
2021-03-18,720,≈∫ªÍ¿Ω∑·
2021-03-18,240,≈∫ªÍ¿Ω∑·
