연월,매입수량,매출수량,품목,폭염일수,한파일수,평균기온,평균일교차,강수량,CPI_라면,CPI_탄산,COVID_19,명절
2021-01-01,24209,3476,봉지라면,0.0,5.5,-1.1,10.8,19.9,99.93,103.27,1,0
2021-02-01,19935,2214,봉지라면,0.0,0.4,3.4,11.6,20.1,99.79,103.79,1,1
2021-03-01,29570,3650,봉지라면,0.0,0.0,8.7,11.7,110.7,99.95,104.72,1,0
2021-04-01,26777,2631,봉지라면,0.0,0.0,13.2,12.0,76.3,99.3,105.91,1,0
2021-05-01,18407,3026,봉지라면,0.0,0.0,16.6,10.8,143.8,99.97,105.22,1,0
2021-06-01,16678,2411,봉지라면,0.1,0.0,21.7,9.2,91.6,100.5,104.55,1,0
2021-07-01,30419,3650,봉지라면,8.1,0.0,26.0,8.6,233.8,100.68,104.63,1,0
2021-08-01,20223,2295,봉지라면,3.5,0.0,24.8,7.7,288.4,100.74,102.58,1,0
2021-09-01,18284,2586,봉지라면,0.0,0.0,21.3,8.1,145.8,109.07,105.66,1,1
2021-10-01,28834,3632,봉지라면,0.0,0.0,15.1,10.8,53.9,110.03,106.31,1,0
2021-11-01,25584,3650,봉지라면,0.0,0.0,8.3,11.2,58.0,108.8,106.84,1,0
2021-12-01,33437,3650,봉지라면,0.0,1.3,1.9,10.5,7.2,108.87,109.1,1,0
2022-01-01,25498,2901,봉지라면,0.0,3.0,-0.8,11.0,2.6,110.26,109.7,1,0
2022-02-01,20445,2342,봉지라면,0.0,1.8,-0.1,11.1,3.5,110.62,110.16,1,1
2022-03-01,22384,2803,봉지라면,0.0,0.0,7.7,11.7,89.4,109.28,107.06,1,0
2022-04-01,21326,2667,봉지라면,0.0,0.0,13.8,12.9,59.4,109.05,111.57,1,0
2022-05-01,23524,3108,봉지라면,0.2,0.0,18.0,13.1,5.8,109.12,111.62,0,0
2022-06-01,22462,3043,봉지라면,1.6,0.0,22.4,8.9,184.7,108.87,114.52,0,0
2022-07-01,20029,2567,봉지라면,5.8,0.0,25.9,7.8,178.4,110.07,113.21,0,0
2022-08-01,25205,3239,봉지라면,2.9,0.0,25.3,7.0,311.5,109.96,111.98,0,0
2022-09-01,26535,2956,봉지라면,0.2,0.0,21.0,9.7,150.8,113.18,111.94,0,1
2022-10-01,13291,2386,봉지라면,0.0,0.0,14.0,11.2,77.6,123.94,112.43,0,0
2022-11-01,20420,2636,봉지라면,0.0,0.0,9.6,12.6,61.6,122.0,113.89,0,0
2022-12-01,25849,2945,봉지라면,0.0,3.5,-1.4,9.8,15.2,122.62,115.64,0,0
2023-01-01,18419,2744,봉지라면,0.0,3.4,-0.6,10.9,40.5,123.39,116.42,0,1
2023-02-01,26953,2766,봉지라면,0.0,0.1,2.5,11.3,15.2,124.69,113.88,0,0
2023-03-01,19036,2718,봉지라면,0.0,0.0,9.4,13.8,28.7,122.73,116.08,0,0
2023-04-01,23044,2564,봉지라면,0.0,0.0,13.1,12.0,66.3,123.84,114.09,0,0
2023-05-01,16715,2482,봉지라면,0.2,0.0,17.9,11.2,193.4,123.79,113.02,0,0
2023-06-01,13758,2158,봉지라면,0.9,0.0,22.3,9.5,210.0,123.67,116.08,0,0
2023-07-01,19051,2922,봉지라면,4.1,0.0,25.5,7.2,506.1,120.87,113.71,0,0
2023-08-01,17149,2542,봉지라면,9.0,0.0,26.4,8.0,299.6,120.33,116.34,0,0
2023-09-01,17977,2461,봉지라면,0.0,0.0,22.6,8.1,197.3,121.35,115.25,0,1
2023-10-01,21902,2635,봉지라면,0.0,0.0,14.7,11.5,17.0,120.69,116.41,0,0
2023-11-01,24835,2701,봉지라면,0.0,0.0,7.9,10.6,63.4,119.76,115.67,0,0
2023-12-01,15676,2731,봉지라면,0.0,1.8,2.4,9.4,102.9,118.92,114.06,0,0
2024-01-01,20612,2652,봉지라면,0.0,1.3,0.9,9.1,31.9,118.06,113.75,0,0
2024-02-01,18394,2136,봉지라면,0.0,0.1,4.1,8.8,103.3,118.76,113.2,0,1
2024-03-01,17608,2719,봉지라면,0.0,0.1,6.9,11.2,64.7,118.0,112.13,0,0
