일자,수량,소분류
2021-01-05,1344,봉지라면
2021-01-05,80,봉지라면
2021-01-05,80,봉지라면
2021-01-05,80,봉지라면
2021-01-07,160,봉지라면
2021-01-07,-16,봉지라면
2021-01-07,-3,봉지라면
2021-01-07,40,봉지라면
2021-01-07,80,봉지라면
2021-01-07,40,봉지라면
2021-01-07,-1,봉지라면
2021-01-07,-3,봉지라면
2021-01-07,-2,봉지라면
2021-01-09,800,봉지라면
2021-01-11,80,봉지라면
2021-01-11,40,봉지라면
2021-01-11,160,봉지라면
2021-01-11,40,봉지라면
2021-01-11,240,봉지라면
2021-01-11,-8,봉지라면
2021-01-13,400,봉지라면
2021-01-13,800,봉지라면
2021-01-13,80,봉지라면
2021-01-14,800,봉지라면
2021-01-14,40,봉지라면
2021-01-14,80,봉지라면
2021-01-14,160,봉지라면
2021-01-14,-8,봉지라면
2021-01-14,-10,봉지라면
2021-01-15,448,봉지라면
2021-01-15,800,봉지라면
2021-01-15,-6,봉지라면
2021-01-18,80,봉지라면
2021-01-18,800,봉지라면
2021-01-18,800,봉지라면
2021-01-18,400,봉지라면
2021-01-18,800,봉지라면
2021-01-18,40,봉지라면
2021-01-18,40,봉지라면
2021-01-18,240,봉지라면
2021-01-18,128,봉지라면
2021-01-18,400,봉지라면
2021-01-19,800,봉지라면
2021-01-19,-2,봉지라면
2021-01-19,-3,봉지라면
2021-01-19,-8,봉지라면
2021-01-21,-168,봉지라면
2021-01-21,-40,봉지라면
2021-01-22,800,봉지라면
2021-01-22,800,봉지라면
2021-01-22,1344,봉지라면
2021-01-22,800,봉지라면
2021-01-22,640,봉지라면
2021-01-22,160,봉지라면
2021-01-22,40,봉지라면
2021-01-22,640,봉지라면
2021-01-23,800,봉지라면
2021-01-25,800,봉지라면
2021-01-26,200,봉지라면
2021-01-26,40,봉지라면
2021-01-26,80,봉지라면
2021-01-26,-8,봉지라면
2021-01-26,-17,봉지라면
2021-01-26,40,봉지라면
2021-01-27,1600,봉지라면
2021-01-28,1792,봉지라면
2021-01-28,448,봉지라면
2021-01-28,160,봉지라면
2021-01-29,960,봉지라면
2021-01-29,80,봉지라면
2021-01-29,80,봉지라면
2021-01-30,800,봉지라면
2021-01-30,8,봉지라면
2021-02-01,800,봉지라면
2021-02-01,320,봉지라면
2021-02-01,160,봉지라면
2021-02-01,240,봉지라면
2021-02-02,40,봉지라면
2021-02-03,800,봉지라면
2021-02-04,400,봉지라면
2021-02-04,400,봉지라면
2021-02-04,3200,봉지라면
2021-02-04,800,봉지라면
2021-02-05,40,봉지라면
2021-02-05,160,봉지라면
2021-02-08,800,봉지라면
2021-02-08,160,봉지라면
2021-02-08,320,봉지라면
2021-02-09,448,봉지라면
2021-02-10,800,봉지라면
2021-02-10,400,봉지라면
2021-02-15,80,봉지라면
2021-02-16,1344,봉지라면
2021-02-16,896,봉지라면
2021-02-16,-3,봉지라면
2021-02-16,-3,봉지라면
2021-02-16,-2,봉지라면
2021-02-16,160,봉지라면
2021-02-16,80,봉지라면
2021-02-17,40,봉지라면
2021-02-17,-48,봉지라면
2021-02-18,160,봉지라면
2021-02-22,464,봉지라면
2021-02-22,400,봉지라면
2021-02-22,800,봉지라면
2021-02-22,400,봉지라면
2021-02-22,800,봉지라면
2021-02-22,-4,봉지라면
2021-02-22,-5,봉지라면
2021-02-22,-1,봉지라면
2021-02-22,-7,봉지라면
2021-02-22,40,봉지라면
2021-02-22,88,봉지라면
2021-02-22,160,봉지라면
2021-02-22,160,봉지라면
2021-02-22,-16,봉지라면
2021-02-23,40,봉지라면
2021-02-23,40,봉지라면
2021-02-24,40,봉지라면
2021-02-24,-1,봉지라면
2021-02-24,-1,봉지라면
2021-02-24,-1,봉지라면
2021-02-24,-4,봉지라면
2021-02-24,448,봉지라면
2021-02-24,40,봉지라면
2021-02-24,-48,봉지라면
2021-02-24,-1,봉지라면
2021-02-24,-3,봉지라면
2021-02-24,-4,봉지라면
2021-02-24,-1,봉지라면
2021-02-25,320,봉지라면
2021-02-26,480,봉지라면
2021-02-26,400,봉지라면
2021-02-27,1920,봉지라면
2021-03-01,2400,봉지라면
2021-03-01,1600,봉지라면
2021-03-01,800,봉지라면
2021-03-01,800,봉지라면
2021-03-02,1600,봉지라면
2021-03-03,80,봉지라면
2021-03-03,80,봉지라면
2021-03-04,800,봉지라면
