연월,매입수량,매출수량,품목
2021-01-01,24209,3476,봉지라면
2021-02-01,19935,2214,봉지라면
2021-03-01,29570,4104,봉지라면
2021-04-01,26777,2631,봉지라면
2021-05-01,18407,3026,봉지라면
2021-06-01,16678,2411,봉지라면
2021-07-01,30419,4005,봉지라면
2021-08-01,20223,2295,봉지라면
2021-09-01,18284,2586,봉지라면
2021-10-01,28834,3632,봉지라면
2021-11-01,25584,4413,봉지라면
2021-12-01,33437,5477,봉지라면
2022-01-01,25498,2901,봉지라면
2022-02-01,20445,2342,봉지라면
2022-03-01,22384,2803,봉지라면
2022-04-01,21326,2667,봉지라면
2022-05-01,23524,3108,봉지라면
2022-06-01,22462,3043,봉지라면
2022-07-01,20029,2567,봉지라면
2022-08-01,25205,3239,봉지라면
2022-09-01,26535,2956,봉지라면
2022-10-01,13291,2386,봉지라면
2022-11-01,20420,2636,봉지라면
2022-12-01,25849,2945,봉지라면
2023-01-01,18419,2744,봉지라면
2023-02-01,26953,2766,봉지라면
2023-03-01,19036,2718,봉지라면
2023-04-01,23044,2564,봉지라면
2023-05-01,16715,2482,봉지라면
2023-06-01,13758,2158,봉지라면
2023-07-01,19051,2922,봉지라면
2023-08-01,17149,2542,봉지라면
2023-09-01,17977,2461,봉지라면
2023-10-01,21902,2635,봉지라면
2023-11-01,24835,2701,봉지라면
2023-12-01,15676,2731,봉지라면
2024-01-01,20612,2652,봉지라면
2024-02-01,18394,2136,봉지라면
2024-03-01,17608,2719,봉지라면
2024-04-01,20134,1843,봉지라면
2024-05-01,21544,2732,봉지라면
2024-06-01,17116,2081,봉지라면
2024-07-01,16394,2263,봉지라면
2024-08-01,13046,1739,봉지라면
2024-09-01,17280,2649,봉지라면
2024-10-01,22392,2240,봉지라면
2024-11-01,16512,2458,봉지라면
2024-12-01,20498,2896,봉지라면
2021-01-01,16523,12266,탄산음료
2021-02-01,15636,13890,탄산음료
2021-03-01,17424,18041,탄산음료
2021-04-01,20422,17251,탄산음료
2021-05-01,20954,16472,탄산음료
2021-06-01,24029,19005,탄산음료
2021-07-01,21946,21454,탄산음료
2021-08-01,22391,22228,탄산음료
2021-09-01,21843,17936,탄산음료
2021-10-01,24957,21035,탄산음료
2021-11-01,17168,16576,탄산음료
2021-12-01,10702,16202,탄산음료
2022-01-01,14139,15632,탄산음료
2022-02-01,19634,12906,탄산음료
2022-03-01,17796,16592,탄산음료
2022-04-01,25249,18607,탄산음료
2022-05-01,26742,19717,탄산음료
2022-06-01,24905,19336,탄산음료
2022-07-01,23952,19535,탄산음료
2022-08-01,26306,20899,탄산음료
2022-09-01,14584,16770,탄산음료
2022-10-01,24879,15743,탄산음료
2022-11-01,13520,13314,탄산음료
2022-12-01,14213,16750,탄산음료
2023-01-01,18706,12119,탄산음료
2023-02-01,22480,14642,탄산음료
2023-03-01,13292,14050,탄산음료
2023-04-01,24677,17169,탄산음료
2023-05-01,17834,19592,탄산음료
2023-06-01,21938,15680,탄산음료
2023-07-01,13166,13922,탄산음료
2023-08-01,19696,17784,탄산음료
2023-09-01,10203,11478,탄산음료
2023-10-01,13904,13104,탄산음료
2023-11-01,15602,11160,탄산음료
2023-12-01,8898,10820,탄산음료
2024-01-01,16933,14853,탄산음료
2024-02-01,11502,10183,탄산음료
2024-03-01,15713,14326,탄산음료
2024-04-01,17514,14278,탄산음료
2024-05-01,22976,18846,탄산음료
2024-06-01,23645,19070,탄산음료
2024-07-01,21942,16130,탄산음료
2024-08-01,13726,17766,탄산음료
2024-09-01,26075,20839,탄산음료
2024-10-01,22084,15336,탄산음료
2024-11-01,11693,14742,탄산음료
2024-12-01,7886,12336,탄산음료
